typ	cls	total	omnipath
above_main	cell_surface	5756	2612
above_main	secreted	647	278
above_main	extracellular	6448	2848
main	surface_ligand	115	105
main	receptor	1961	1038
main	ligand	839	731
main	surface_enzyme	1106	694
main	extracellular_enzyme	2303	1141
main	ecm	1713	430
main	transporter	671	293
main	adhesion	1409	1002
small_main	gap_junction	33	18
small_main	growth_factor_regulator	120	112
small_main	growth_factor_binder	67	57
small_main	tight_junction	131	95
